Voltage, ChB vs Voltage, ChA, Run #1
Voltage, ChA ( V )	Voltage, ChB ( V )
0.048	0.027
0.079	0.037
0.110	0.067
0.140	0.104
0.172	0.151
0.204	0.215
0.234	0.302
0.264	0.408
0.296	0.472
0.327	0.386
0.356	0.242
0.389	0.157
0.419	0.118
0.450	0.110
0.481	0.128
0.511	0.176
0.544	0.256
0.574	0.372
0.604	0.518
0.635	0.712
0.665	0.946
0.697	1.226
0.727	1.552
0.758	1.846
0.789	1.788
0.821	1.200
0.849	0.685
0.881	0.404
0.911	0.280
0.943	0.261
0.974	0.316
1.004	0.446
1.035	0.665
1.066	0.904
1.097	1.226
1.127	1.614
1.157	2.070
1.188	2.593
1.219	3.157
1.250	3.527
1.280	3.299
1.310	2.310
1.342	1.462
1.372	0.865
1.403	0.553
1.434	0.461
1.464	0.522
1.494	0.705
1.525	0.976
1.555	1.340
1.586	1.792
1.617	2.331
1.648	2.954
1.679	3.660
1.708	4.403
1.739	4.937
1.768	4.724
1.801	3.816
1.831	2.828
1.860	1.854
1.892	1.232
1.923	0.905
1.953	0.839
1.983	0.958
2.015	1.226
2.045	1.618
2.075	2.130
2.105	2.754
2.136	3.484
2.167	4.313
2.197	5.191
2.227	5.869
2.258	5.972
2.289	5.446
2.319	4.563
2.349	3.438
2.381	2.549
2.410	1.883
2.440	1.523
2.471	1.461
2.500	1.593
2.532	1.896
2.562	2.354
2.592	2.963
2.623	3.706
2.653	4.572
2.682	5.515
2.714	6.359
2.744	6.820
2.775	6.796
2.804	6.283
2.835	5.358
2.864	4.415
2.895	3.521
2.926	2.898
2.957	2.519
2.987	2.388
3.017	2.465
3.046	2.739
3.076	3.204
3.107	3.837
3.139	4.633
3.164	5.442
