Voltage, ChB vs Voltage, ChA, Run #9
Voltage, ChA ( V )	Voltage, ChB ( V )
0.047	0.045
0.078	0.079
0.109	0.126
0.140	0.194
0.172	0.291
0.202	0.411
0.233	0.497
0.263	0.416
0.294	0.259
0.325	0.167
0.355	0.124
0.387	0.122
0.417	0.149
0.447	0.213
0.479	0.319
0.510	0.475
0.539	0.684
0.570	0.956
0.602	1.296
0.632	1.713
0.663	2.200
0.693	2.669
0.723	2.677
0.754	1.912
0.785	1.159
0.815	0.720
0.847	0.503
0.876	0.457
0.906	0.517
0.939	0.691
0.968	0.981
0.998	1.386
1.030	1.907
1.060	2.549
1.091	3.317
1.120	4.210
1.152	5.198
1.182	6.010
1.212	5.766
1.241	4.177
1.273	2.678
1.304	1.643
1.334	1.064
1.365	0.881
1.395	0.944
1.426	1.220
1.455	1.679
1.486	2.357
1.517	3.135
1.547	4.124
1.577	5.289
1.608	6.629
1.639	8.079
1.669	9.818
1.699	9.104
1.730	7.435
1.761	5.511
1.790	3.687
1.821	2.413
1.852	1.773
1.882	1.572
1.913	1.750
1.943	2.206
1.972	2.922
2.003	3.868
2.034	5.044
2.063	6.430
2.094	8.001
2.125	9.760
2.151	9.995
2.183	9.995
2.216	9.995
2.246	9.155
2.275	6.986
2.305	5.077
2.336	3.737
2.368	2.941
2.398	2.720
2.427	2.889
2.458	3.444
2.487	4.288
2.519	5.451
2.548	6.883
2.578	8.580
2.607	9.995
2.636	9.995
2.666	9.995
2.697	9.995
2.726	9.995
2.757	9.995
2.789	9.013
2.820	7.170
2.850	5.698
2.880	4.851
2.910	4.450
2.941	4.562
2.971	5.032
3.001	5.927
3.030	7.154
3.060	8.741
3.091	9.995
3.118	9.995
3.148	9.995
3.158	9.995
